"PR name","created date","author"
"Feat graphql support","2021-03-12T18:01:20Z","christyjacob4"
"Feat 410 bitrix24 oauth2 provider","2021-05-08T23:54:29Z","it-delta"
"doc: Add info about _APP_STORAGE_LIMIT environment variable to Storage doc","2021-06-04T20:37:31Z","alexweininger"
"Feat - Add Function Name Tags","2021-06-11T14:58:19Z","PineappleIOnic"
"Feature custom runtime","2021-06-13T16:55:41Z","Meldiron"
"[DRAFT] List Functions Route for Clients","2021-06-18T13:37:10Z","PineappleIOnic"
"Add a environment variable to configure max log characters for functions","2021-06-30T10:16:25Z","PineappleIOnic"
"[FIX] Correctly use runtime defaults with no _APP_FUNCTIONS_RUNTIMES variable","2021-07-12T15:11:52Z","PineappleIOnic"
"#2 Feature custom runtime","2021-07-15T20:21:33Z","Meldiron"
"WIP: Console translation","2021-09-02T08:00:08Z","Meldiron"
"Feat-support-oauth-without-email","2021-09-15T08:37:24Z","lohanidamodar"
"Add live reloader","2021-09-17T19:09:39Z","Emiliaaah"
"Exceptions translations","2021-09-18T10:04:53Z","Meldiron"
"Fixed the Document","2021-09-20T11:21:52Z","Sayanta66"
"Feat: enable SMTP debugging when not in production","2021-09-21T02:02:17Z","kodumbeats"
"Update GETTING_START.md for flutter","2021-09-22T16:01:41Z","2002Bishwajeet"
"Fix for #1662. Corrected the spelling in the logs.","2021-09-26T21:36:52Z","gireeshp"
"Add HTTP Example Generation","2021-09-30T15:11:00Z","PineappleIOnic"
"experiment(repo): add phpstan","2021-09-30T20:22:14Z","TorstenDittmann"
"Session duration implementation","2021-10-14T12:40:58Z","Meldiron"
"Fixed Oauth2 port issue","2021-10-29T13:08:43Z","dro-1"
"Add missing translation (eo)","2021-11-05T08:50:51Z","ErfanBahramali"
"Fix Event not being triggered when a new account is created through OAuth","2021-11-16T14:31:05Z","PineappleIOnic"
"Feat 401 OIDC auth","2021-11-28T21:30:16Z","mKlooney"
"Add a DNS warning during install","2021-11-30T16:13:28Z","PineappleIOnic"
"Update Malayalam translations","2022-01-05T11:37:37Z","varghesejose2020"
"Proper 409 with customIDs","2022-01-20T13:59:52Z","Meldiron"
"Feat 2701 wso2 oauth","2022-01-26T18:01:05Z","leonansaraiva"
"Feat-permissions-docs-update","2022-01-30T22:26:49Z","eldadfux"
"Password Hashing algos","2022-02-04T15:34:39Z","Meldiron"
"Added unrestricted permissions feature","2022-02-07T11:48:16Z","acalatrava"
"refactor: clean up usage worker ","2022-02-07T22:53:48Z","kodumbeats"
"feat: support managed redis 6+ userpass auth over TLS ","2022-02-08T23:00:29Z","kodumbeats"
"Configurable recovery and account verify token duration","2022-02-09T05:13:35Z","gigonzalezs"
"Feat 2772 allow turning off analytics","2022-02-10T17:48:21Z","tzdev0"
"Fix: Loader pointer event","2022-02-23T08:43:18Z","Meldiron"
"update create magic url session doc","2022-02-27T08:52:20Z","lohanidamodar"
"fix: specs with deeply nested models","2022-03-09T11:16:53Z","TorstenDittmann"
"WIP: Partially add devspace.yaml","2022-03-19T00:46:34Z","karbowiak"
"Show Stdout with build logs when build fails","2022-03-21T14:37:11Z","PineappleIOnic"
"chore: enhance gitpod Dockerfile steps for prebuilds","2022-03-22T13:17:56Z","emattiza"
"Create session from oAuth2 access token","2022-03-25T11:20:16Z","lohanidamodar"
"project level secrets data structure","2022-03-27T10:40:48Z","lohanidamodar"
"Feat timestamp attribute","2022-03-28T08:07:01Z","lohanidamodar"
"docs: update the Code of Conduct to the latest version","2022-04-13T19:08:57Z","Panquesito7"
"Update getting started docs for swift async/await","2022-04-19T05:34:05Z","abnegate"
"POC locale logic abstraction","2022-04-27T03:41:43Z","abnegate"
"Check and truncate stdout/stderr to max attribute size","2022-04-28T09:14:35Z","abnegate"
"Fix: Default values","2022-05-01T08:55:24Z","Meldiron"
"feat: Add authentik as a OAuth provider","2022-05-05T13:12:56Z","Aragur"
"Added webm to video mime type","2022-05-05T19:53:57Z","chuongtang"
"Refactor s3 adapter calls","2022-05-08T16:24:35Z","shimonewman"
"Refactor `functions.php`","2022-05-13T12:08:18Z","everly-gif"
"Add Rust to Platforms.php","2022-05-18T13:38:05Z","PineappleIOnic"
"fix: empty build logs","2022-05-19T23:45:36Z","christyjacob4"
"fix: escape order attribute names","2022-05-20T10:45:19Z","jkklapp"
"Fix: Zoom OAuth scopes","2022-05-20T11:56:11Z","Meldiron"
"Update service checks to ignore server app users","2022-05-22T07:03:56Z","stnguyen90"
"fix small typo error dart","2022-05-24T08:02:53Z","2002Bishwajeet"
"Added ""open in Gitpod"" in readme.md","2022-05-24T19:14:57Z","arth2002"
"Refactor `account.php`","2022-05-25T10:55:16Z","everly-gif"
"refactor `users.php`","2022-05-25T13:55:08Z","everly-gif"
"refactor `database.php`","2022-05-25T13:56:36Z","everly-gif"
"Feat: Implemented bulk document creation","2022-05-26T09:51:06Z","Shadowfita"
"Refactor `mock.php`","2022-05-26T14:47:57Z","everly-gif"
"Refactor `general.php`","2022-05-26T14:48:28Z","everly-gif"
"Refactor `home.php`","2022-05-26T14:49:10Z","everly-gif"
"Refactor `console.php`","2022-05-26T14:49:49Z","everly-gif"
"Refactor `api.php`","2022-05-26T14:50:33Z","everly-gif"
"Refactor `web.php`","2022-05-26T14:51:13Z","everly-gif"
